name,address,address_line_2,city,province,postal_code,latitude,longitude,phone,email,fuel_brand,price_zone,available_fuel_types,fuel_prices_petrol_95,fuel_prices_petrol_93,fuel_prices_diesel_50ppm,fuel_prices_diesel_500ppm,other_offerings,contact_1_name,contact_1_surname,contact_1_email,contact_1_office_phone,contact_1_mobile_phone,contact_2_name,contact_2_surname,contact_2_email,contact_2_office_phone,contact_2_mobile_phone,vat_number,bank_name,account_holder,account_number,branch_code
"TotalEnergies","91 Voortrekker Street",,"Oudtshoorn","Western Cape",6625,-33.5916338,22.1937232,,,Total,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"Engen","Engen",,"Unknown","Western Cape",,-33.5912316,22.1934343,,,Engen,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"Unknown Station","Address not available",,"Unknown","Western Cape",,-33.048404,18.051138,,,Unknown,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"Kasteel Motors","Kasteel Motors",,"Unknown","Western Cape",,-33.3850774,18.8960988,,,Engen,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"Engen","21 Voortrekker Street",,"Riebeeck West","Western Cape",,-33.349868,18.869694,+27 22 461 2337,,Engen,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"Engen","Main Street",,"Darling","Western Cape",,-33.3758325,18.379494,+27 22 492 3434,,Engen,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"Theo Everson Motors","Theo Everson Motors",,"Unknown","Western Cape",,-33.6466119,19.4390468,,,Shell,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"Unknown Station","Address not available",,"Unknown","Western Cape",,-34.3912539,20.8256027,,,Unknown,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"Tulbagh Garage","Tulbagh Garage",,"Unknown","Western Cape",,-33.2884379,19.1393553,,,Shell,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"Gouda Motors","Gouda Motors",,"Unknown","Western Cape",,-33.3006997,19.0402458,,,Engen,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"Unknown Station","Address not available",,"Unknown","Eastern Cape",,-33.9514922,22.9463818,,,Unknown,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"Astron Energy","Astron Energy",,"Riviersonderend","Western Cape",,-34.1517834,19.9203535,+27 28 261 1496,,Astron Energy,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"Mans Motors","Mans Motors",,"Unknown","Northern Cape",,-31.9148856,21.5113709,,,Total,Inland,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"Shell Station","Address not available",,"Unknown","Western Cape",,-32.3946368,20.6634827,,,Shell,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"Shell Station","Address not available",,"Unknown","Western Cape",,-33.3458091,18.1613109,,,Shell,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"BP Buffeljagsrivier","BP Buffeljagsrivier",,"Unknown","Western Cape",,-34.0389738,20.5460867,,,BP,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"TotalEnergies","TotalEnergies",,"Caledon","Western Cape",7230,-34.2393389,19.4280992,+27 28 214 3851,,Total,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"Sasol","Sasol",,"George","Western Cape",6529,-33.9732564,22.470126,+27 44 873 4142,,Sasol,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"Caltex Station","Address not available",,"Unknown","Northern Cape",,-31.6626203,18.5084114,,,Caltex,Inland,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"Shell","Graafwater Road",,"Unknown","Western Cape",8135,-32.1755888,18.8918975,+27 27 482 2161,,Shell,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"Unknown Station","Address not available",,"Unknown","Western Cape",,-32.1755985,18.8909383,,,Unknown,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"Caltex Protea Motors","Caltex Protea Motors",,"Unknown","Northern Cape",,-31.3737112,19.1109161,,,Caltex,Inland,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"BP","88 Voortrekker Road",,"Malmesbury","Western Cape",7300,-33.4559252,18.7301105,+27 22 482 2961,,BP,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"TotalEnergies","51 Oostewal Road",,"Langebaan","Western Cape",7357,-33.0896938,18.0341249,,,Total,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"McGregor Filling Station","McGregor Filling Station",,"Unknown","Western Cape",,-33.9455142,19.8308149,,,Caltex,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"Engen","Engen",,"Klawer","Northern Cape",,-31.7787578,18.6353801,+27 27 216 1816,,Engen,Inland,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"Fuel1","Fuel1",,"Unknown","Western Cape",,-33.9244846,18.4135304,,,Unknown,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"Caltex","Caltex",,"Unknown","Western Cape",,-34.1526471,19.019724,,,Caltex,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"Engen Station","Address not available",,"Unknown","Western Cape",,-34.0473346,18.502211,,,Engen,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"Unknown Station","Address not available",,"Unknown","Western Cape",,-33.1934982,20.8452532,,,Unknown,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"TotalEnergies","TotalEnergies",,"Calvinia","Northern Cape",8190,-31.4658301,19.7847297,+27 27 341 8237,,Total,Inland,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"Unknown Station","Address not available",,"Unknown","Western Cape",,-33.945898,18.6807959,,,Unknown,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"BP Station","Address not available",,"Unknown","Western Cape",,-33.3772138,18.3830788,,,BP,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"Caltex","Caltex",,"Unknown","Western Cape",,-33.9389317,20.1046814,,,Caltex,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"BP","BP",,"Unknown","Western Cape",,-33.9395101,20.1020634,,,BP,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"Astron Energy","Astron Energy",,"George","Western Cape",,-33.9714435,22.4464748,+27 44 874 4118,,Astron Energy,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"Shell","102 Churchill Road",,"Unknown","Western Cape",7800,-34.0216836,18.483747,+27 21 797 4240,,Shell,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"Shell","Frans Conradie Drive",,"Unknown","Western Cape",7560,-33.8763974,18.6859339,+27 21 981 8440,,Shell,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"Engen","Eksteen Street",,"Heidelberg","Western Cape",,-34.0960626,20.9638882,+27 28 722 1633,,Engen,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"Astron Energy","Astron Energy",,"Heidelberg","Western Cape",,-34.09651,20.963433,+27 28 424 1810,,Astron Energy,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"Doncaster Motors","Doncaster Motors",,"Unknown","Western Cape",,-33.9898042,18.4864382,,,Caltex,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"Engen","39 Voortrekker Road",,"De Doorns","Western Cape",,-33.4766969,19.6644395,+27 23 356 2115,,Engen,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"Caltex","Caltex",,"Unknown","Eastern Cape",,-32.3557352,22.5833002,,,Caltex,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"BP","1 Marsh Rose Mall Oudebrug Road",,"Grabouw","Western Cape",7130,-34.1607517,19.0092866,+27 21 859 5687,,BP,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"Sir Lowry Diesel Depot","Sir Lowry Diesel Depot",,"Unknown","Western Cape",,-34.1201979,18.8764514,,,Gulfstream,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"Loxton Motors","Loxton Motors",,"Unknown","Western Cape",,-32.9088592,18.7572647,,,BP,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"Caltex","Caltex",,"Unknown","Western Cape",,-34.2265617,19.2071621,,,Caltex,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"Shell","41 Jane Street",,"Unknown","Western Cape",6880,-33.33221,20.0277933,+27 23 358 1099,,Shell,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"Astron Energy","Astron Energy",,"Stanford","Western Cape",,-34.4408272,19.4587849,,,Astron Energy,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"Astron Energy","Astron Energy",,"Napier","Western Cape",,-34.4695837,19.893443,+27 28 423 3381,,Astron Energy,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"Bokveld Motors","Bokveld Motors",,"Unknown","Western Cape",,-33.2907848,19.3274994,,,Brent Oil,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"Engen Station","Address not available",,"Unknown","Western Cape",,-33.9710069,22.4475076,,,Engen,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"BP Station","Address not available",,"Unknown","Western Cape",,-34.0025872,22.3823563,,,BP,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"Engen","Onverwacht Crescent",,"Oudtshoorn","Western Cape",,-33.6131697,22.2146961,+27 44 272 7391,,Engen,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"Puma Station","Address not available",,"Unknown","Northern Cape",,-31.883921,18.6292856,,,Puma,Inland,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"Caltex","Caltex",,"Unknown","Western Cape",,-32.5952632,19.0121042,,,Caltex,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"Shell","Shell",,"Kommetjie","Western Cape",7975,-34.1408969,18.3290754,+27 21 783 5959,,Shell,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"Total","Total",,"Unknown","Western Cape",,-34.1606584,22.1061808,,,Total,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"Engen","Kaap de Goede Hoop Avenue",,"Mossel Bay","Western Cape",,-34.1244243,22.1089665,+27 44 695 1044,,Engen,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"Caltex","Caltex",,"Unknown","Western Cape",,-34.1818687,22.1153476,,,Caltex,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"Shell","Shell",,"Mossel Bay","Western Cape",6500,-34.1843201,22.1147625,+27 44 150 0049,,Shell,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"Trokkie","1 Pastorie Street",,"Calvinia","Northern Cape",8190,-31.4777525,19.7703406,+27 27 341 1244,,KLK,Inland,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"Top Up","Top Up",,"Unknown","Western Cape",,-34.1825531,22.1464493,,,Engen,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"Fuel","Fuel",,"Unknown","Western Cape",,-32.3134001,18.340059,,,Unknown,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"BP Station","Address not available",,"Unknown","Western Cape",,-33.3325175,20.0233889,,,BP,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"BP","40 Belvedere Road",,"Rondebosch","Western Cape",7708,-33.9769454,18.4841734,+27 21 683 5340,,BP,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"Caltex","Caltex",,"Unknown","Western Cape",,-33.5907634,22.2031304,,,Caltex,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"Bergriver Motors","Bergriver Motors",,"Unknown","Western Cape",,-32.7708368,18.1545429,,,Shell,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"Engen","Engen",,"Velddrif","Western Cape",,-32.7856481,18.1686887,+27 22 783 2171,,Engen,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"Shell","20 Hans Strydom Street",,"Parow","Western Cape",7500,-33.8917898,18.5774509,+27 21 939 2012,,Shell,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"Engen","19 Golf Course Road",,"Cape Town","Western Cape",7700,-33.9586408,18.4988447,+27 21 696 8406,,Engen,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"Shell","Christiaan Barnard Street",,"Cape Town","Western Cape",8001,-33.9218073,18.4323462,+27 21 421 4667,,Shell,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"Engen","Engen",,"Cape Town","Western Cape",,-33.98701,18.485157,+27 21 671 8325,,Engen,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"Vic White Motors","380 Imam Haron Road",,"Lansdowne","Western Cape",7780,-33.9866089,18.4974507,,,BP,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"Lansdowne Motors","Lansdowne Motors",,"Unknown","Western Cape",,-33.9848506,18.4930254,,,Engen,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"TotalEnergies","TotalEnergies",,"Cape Town","Western Cape",7708,-33.9874587,18.4840115,,,Total,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"Shell","27 Voortrekker Street",,"Unknown","Western Cape",6835,-33.3718199,19.3050451,+27 23 312 2954,,Shell,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"Unknown Station","Address not available",,"Unknown","Western Cape",,-33.9544227,18.6861235,,,Unknown,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"Shell","55 Main Street",,"Unknown","Western Cape",7170,-33.9897745,19.2919328,+27 28 840 1123,,Shell,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"Puma","Puma",,"Unknown","Western Cape",,-33.9896497,19.2926996,,,Puma,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"Engen","Main Road",,"Stilbaai","Western Cape",,-34.370749,21.405905,+27 28 754 1016,,Engen,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"Atlantic Station","Address not available",,"Unknown","Western Cape",,-34.2899576,21.912575,,,Atlantic,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"Unknown Station","Address not available",,"Unknown","Western Cape",,-34.3470783,20.6155902,,,Unknown,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"Caltex","Caltex",,"Unknown","Western Cape",,-33.8435514,18.6767817,,,Caltex,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"Kaap Agri","Voortrekker Avenue",,"Unknown","Western Cape",,-33.8122168,19.8846522,+27236261900,,Unknown,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"Vygevallei Petrol Station","Vygevallei Petrol Station",,"Unknown","Western Cape",,-33.4004896,18.2788533,,,Total,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"TotalEnergies","TotalEnergies",,"Oudtshoorn","Western Cape",6625,-33.5865759,22.203471,+27 44 272 4890,,Total,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"Total","Total",,"Unknown","Western Cape",,-33.840391,18.957333,,,Total,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"Gas and Diesel Depot","Gas and Diesel Depot",,"Unknown","Western Cape",,-34.1230097,18.8374859,,,Unknown,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"Unknown Station","5415 Liwani Street",,"Unknown","Western Cape",,-34.0024319,22.4742593,,,Unknown,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"Engen","Engen",,"Witsand","Western Cape",,-33.5896735,18.5096194,+27 21 572 5333,,Engen,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"Total","Total",,"Unknown","Northern Cape",,-31.6675245,18.5092462,,,Total,Inland,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"Engen","Engen",,"Cape Town","Western Cape",,-33.8463904,18.643932,+27 21 976 5110,,Engen,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"FAWC Aircraft Fuel","FAWC Aircraft Fuel",,"Unknown","Western Cape",,-33.6639592,19.4187822,,,Private,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"FAWC Aircraft Fuel","FAWC Aircraft Fuel",,"Unknown","Western Cape",,-33.6639374,19.4187092,,,Private,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"Overberg Agri","Overberg Agri",,"Unknown","Western Cape",,-34.3746169,20.4326195,,,Unknown,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"Total Station","Address not available",,"Unknown","Western Cape",,-32.1541478,18.6047939,,,Total,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"Astron Energy","43 Oak Street",,"Greyton","Western Cape",,-34.0509385,19.6086615,+27 28 254 9244,,Astron Energy,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"TotalEnergies","TotalEnergies",,"Unknown","Western Cape",,-32.9075741,18.7668358,,,Total,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"Shell","Shell",,"George","Eastern Cape",6530,-33.9832677,22.5018288,+27 44 887 0480,,Shell,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"BP","Polkadraai Road",,"Stellenbosch","Western Cape",7599,-33.9529636,18.7983625,+27 21 887 7258,,BP,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"Shell","2 Van Riebeeck Street",,"Unknown","Northern Cape",8170,-31.6085857,18.7316814,+27 27 219 1022,,Shell,Inland,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"Caltex","Caltex",,"Unknown","Western Cape",,-33.5400958,21.6835812,,,Caltex,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"Caltex","Caltex",,"Unknown","Western Cape",,-33.5300506,21.6878807,,,Caltex,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
